objectID,footprint,area,height,label,data,index
1893,3752.0,7227.772812109375,13.21,0,../data/data_root/data00/1893.pt,1893
1897,1970.0,6718.54,16.57,0,../data/data_root/data00/1897.pt,1897
1900,2987.0,6886.672698046875,12.56,0,../data/data_root/data00/1900.pt,1900
1906,2277.0,5158.11585,11.29,0,../data/data_root/data00/1906.pt,1906
1907,2595.0,7477.403698242188,10.55,0,../data/data_root/data00/1907.pt,1907
1937,2278.0,6796.226915625,12.56,0,../data/data_root/data00/1937.pt,1937
1951,3115.0,8400.517716796876,29.96,0,../data/data_root/data00/1951.pt,1951
1964,3770.0,8261.5701,34.72,0,../data/data_root/data00/1964.pt,1964
1965,698.0,7512.854121875,24.48,0,../data/data_root/data00/1965.pt,1965
1976,1793.0,6028.66655625,23.44,0,../data/data_root/data00/1976.pt,1976
1987,2898.0,6846.44015,19.34,0,../data/data_root/data00/1987.pt,1987
1989,2028.0,6015.0292,25.84,0,../data/data_root/data00/1989.pt,1989
2036,2259.0,6880.9915,16.62,0,../data/data_root/data00/2036.pt,2036
2038,3468.0,9555.30235,19.14,0,../data/data_root/data00/2038.pt,2038
2057,2673.0,5001.0409125,13.16,0,../data/data_root/data00/2057.pt,2057
2083,3662.0,6438.82730625,28.24,0,../data/data_root/data00/2083.pt,2083
2085,1840.0,7894.1193,16.79,0,../data/data_root/data00/2085.pt,2085
2090,2082.0,19847.54451972656,17.48,0,../data/data_root/data00/2090.pt,2090
2093,3612.0,15451.68156328125,28.01,0,../data/data_root/data00/2093.pt,2093
2105,2204.0,7238.240769921875,15.14,0,../data/data_root/data00/2105.pt,2105
2108,1861.0,5032.33345,22.13,0,../data/data_root/data00/2108.pt,2108
2110,2848.0,5062.27645,24.3,0,../data/data_root/data00/2110.pt,2110
2113,2253.0,6500.9659,13.36,0,../data/data_root/data00/2113.pt,2113
2121,2822.0,6951.41775,15.24,0,../data/data_root/data00/2121.pt,2121
2156,2243.0,7495.32585,23.41,0,../data/data_root/data00/2156.pt,2156
2158,2275.0,4240.41205,33.3,0,../data/data_root/data00/2158.pt,2158
2170,2467.0,6519.25935,11.1,0,../data/data_root/data00/2170.pt,2170
2183,1952.0,6515.25935,21.4,0,../data/data_root/data00/2183.pt,2183
2187,3114.0,6775.5086,11.29,0,../data/data_root/data00/2187.pt,2187
2188,2923.0,6968.5415,13.4,0,../data/data_root/data00/2188.pt,2188
2194,4033.0,8793.99646875,16.51,0,../data/data_root/data00/2194.pt,2194
2195,2523.0,5314.1345,21.39,0,../data/data_root/data00/2195.pt,2195
2196,2641.0,5547.43505,11.45,0,../data/data_root/data00/2196.pt,2196
2197,2666.0,7297.51305,10.78,0,../data/data_root/data00/2197.pt,2197
2200,2140.0,5647.508834765625,12.45,0,../data/data_root/data00/2200.pt,2200
2219,3300.0,7533.23365625,31.49,0,../data/data_root/data00/2219.pt,2219
2232,2125.0,6474.34675,16.35,0,../data/data_root/data00/2232.pt,2232
2253,2043.0,6002.41302421875,11.4,0,../data/data_root/data00/2253.pt,2253
2255,1911.0,4952.89765,10.25,0,../data/data_root/data00/2255.pt,2255
2261,2062.0,10133.599,16.51,0,../data/data_root/data00/2261.pt,2261
2264,1904.0,5398.0531,18.56,0,../data/data_root/data00/2264.pt,2264
2274,3245.0,9761.9985,16.33,0,../data/data_root/data00/2274.pt,2274
2277,3107.0,7047.45875,12.75,0,../data/data_root/data00/2277.pt,2277
2278,3809.0,6860.9975,14.1,0,../data/data_root/data00/2278.pt,2278
2279,3275.0,6946.202524609375,13.34,0,../data/data_root/data00/2279.pt,2279
2280,3757.0,6967.3497,17.34,0,../data/data_root/data00/2280.pt,2280
2281,3245.0,7248.328,17.18,0,../data/data_root/data00/2281.pt,2281
2282,3219.0,6562.4486,25.17,0,../data/data_root/data00/2282.pt,2282
2291,2938.0,7154.2695,18.36,0,../data/data_root/data00/2291.pt,2291
2292,1754.0,6291.7855,10.87,0,../data/data_root/data00/2292.pt,2292
2297,3153.0,7500.58319375,23.82,0,../data/data_root/data00/2297.pt,2297
2350,3170.0,9335.510931640625,13.82,0,../data/data_root/data00/2350.pt,2350
2360,2448.0,7863.38395,11.89,0,../data/data_root/data00/2360.pt,2360
2361,2687.0,7896.89695,12.63,0,../data/data_root/data00/2361.pt,2361
2369,2333.0,5408.6035,12.02,0,../data/data_root/data00/2369.pt,2369
2381,3685.0,9409.014814648437,12.93,0,../data/data_root/data00/2381.pt,2381
2422,2074.0,8197.807275,19.87,0,../data/data_root/data00/2422.pt,2422
2437,2230.0,3222.459628125,30.22,0,../data/data_root/data00/2437.pt,2437
2446,1306.0,8242.702665625,8.98,0,../data/data_root/data00/2446.pt,2446
2448,2228.0,7058.487686523437,10.64,0,../data/data_root/data00/2448.pt,2448
2464,1983.0,5721.10415,10.58,0,../data/data_root/data00/2464.pt,2464
2477,3422.0,8631.99795,25.95,0,../data/data_root/data00/2477.pt,2477
2478,3135.0,5993.24325,24.04,0,../data/data_root/data00/2478.pt,2478
2485,3137.0,9610.08625,14.73,0,../data/data_root/data00/2485.pt,2485
2486,4000.0,12183.225337109376,19.71,0,../data/data_root/data00/2486.pt,2486
