,index
1509,529290
1510,529292
1511,529293
1513,529299
1514,529304
1516,529314
1517,529315
1518,529316
1520,529321
1521,529323
1522,529325
1524,529333
1525,529336
1526,529338
1527,529339
1528,529340
1530,529345
1531,529346
1532,529347
1533,529348
1534,529349
1535,529350
1536,529352
1537,529353
1538,529354
1539,529355
1541,529359
1543,529362
1544,529363
1545,529364
1547,529369
1548,529371
1550,529373
1551,529375
1552,529376
1553,529377
1554,529379
1555,529380
1556,529382
1557,529386
1558,529390
1560,529392
1561,529395
1563,529399
1564,529401
1565,529403
1567,529407
1568,529408
1570,529414
1572,529418
1573,529423
1574,529426
1576,529428
1577,529434
1578,529441
1579,529442
1580,529446
1581,529447
1582,529448
1583,529450
1585,529456
1586,529457
1587,529458
1588,529461
1589,529464
1591,529471
1592,529473
1593,529475
1594,529476
1595,529477
1596,529478
1597,529480
1598,529481
1600,529484
1601,529485
1602,529486
1604,529488
1606,529495
1608,529498
1609,529499
1610,529500
1611,529501
1612,529503
1613,529505
1614,529513
1615,529514
1616,529518
1617,529519
1619,529522
1620,529525
1621,529526
1622,529527
1623,529533
1624,529535
1625,529536
1626,529538
1627,529540
1629,529544
1630,529545
1631,529547
1632,529556
1634,529563
1635,529565
1636,529567
1637,529569
1638,529574
1639,529579
1640,529585
1641,529586
1642,529588
1643,529589
1645,529598
1646,529599
1647,529602
1648,529603
1649,529604
1650,529605
1654,529616
1655,529618
1656,529620
1658,529623
1659,529626
1662,529633
1663,529634
1665,529644
1666,529645
1667,529646
1668,529650
1673,529657
1674,529660
1675,529663
1676,529668
1677,529671
1678,529674
1679,529681
1680,529682
1681,529684
1682,529686
1683,529691
1684,529692
1685,529694
1686,529698
1691,529711
1692,529712
1693,529716
1694,529718
1695,529720
1698,529723
1702,529734
1703,529735
1705,529737
1707,529743
1708,529744
1709,529746
1710,529749
1711,529751
1712,529754
1713,529755
1714,529757
1715,529759
1716,529761
1717,529763
1718,529764
1719,529767
1720,529768
1721,529770
1722,529772
1723,529779
1724,529782
1725,529783
1726,529792
1727,529794
1728,529795
1729,529797
1730,529798
1734,529805
1735,529809
1736,529812
1737,529814
1738,529818
1739,529819
1742,529825
1743,529827
1744,529828
1745,529829
1746,529830
1747,529831
1748,529832
1753,529857
1754,529863
1755,529866
1756,529867
1757,529869
1758,529873
1759,529874
1760,529876
1761,529877
1762,529890
1763,529894
1764,529895
1765,529897
1766,529899
1768,529903
1769,529905
1772,529912
1773,529914
1774,529917
1776,529921
1777,529924
1779,529928
1780,529929
1781,529930
1783,529933
1784,529934
1785,529936
1786,529937
1787,529940
1791,529945
1792,529947
1793,529948
1795,529952
1797,529956
1799,529965
1800,529967
1801,529971
1802,529976
1803,529978
1804,529979
1805,529984
1806,529985
1808,529990
1809,529993
1810,529996
1812,530005
1813,530006
1814,530007
1815,530008
1816,530009
1818,530013
1819,530014
1820,530016
1821,530019
1822,530021
1823,530022
1824,530024
1825,530025
1826,530026
1828,530029
1829,530038
1831,530044
1832,530047
1833,530048
1835,530050
1837,530055
1838,530057
1839,530058
1840,530059
1842,530087
1843,530092
1844,530096
1845,530100
1846,530119
1847,530122
1849,530130
1850,530132
1851,530135
1852,530136
1853,530137
1856,530142
1857,530143
1858,530144
1860,530146
1861,530147
1863,530150
1865,530153
1866,530154
1867,530155
1868,530156
1869,530159
1870,530163
1871,530165
1872,530167
1874,530170
1876,530172
1877,530173
1878,530174
1879,530175
1880,530176
1881,530178
1882,530179
1883,530181
1884,530182
1885,530183
1886,530184
1887,530185
1889,530191
1890,530198
