,index
5639,23801
5648,23811
5649,23812
5654,23819
5668,23836
5669,23837
5675,23845
5690,2386
5697,2387
5700,23875
5705,2388
5709,23884
5710,23885
5712,23887
5713,23888
5714,23889
5715,23890
5719,23895
5724,23903
5733,23918
5735,23921
5737,23923
5738,23924
5739,23925
5753,23940
5756,23943
5757,23944
5760,23947
5761,23948
5762,23949
5763,23951
5771,23962
5773,23964
5781,23974
5791,23985
5798,23993
5803,24001
5804,24003
5808,24012
5809,24013
5812,24018
5817,24024
5818,24029
5822,24035
5825,2404
5828,24047
5829,2405
5838,24059
5840,24062
5842,24067
5843,2407
5844,24070
5860,24089
5861,24090
5862,24092
5865,24096
5866,24097
5867,24102
5868,24103
5871,2411
5872,24111
5873,24113
5883,24131
5886,24135
5887,24136
5889,24139
5898,24157
5899,24158
5900,24159
5901,24160
5915,2418
5919,24184
5921,24186
5926,24191
5927,24192
5930,24196
5932,24199
5933,2420
5934,24201
5935,24202
5940,24216
5942,24219
5950,24235
5951,24236
5952,24237
5953,24238
5954,24239
5955,2424
5956,24240
5958,24243
5970,2426
5974,24263
5978,24267
5982,24274
5985,2428
5987,24282
5992,24290
5993,24292
5994,24293
5996,2430
6000,24304
6004,24311
6005,24312
6007,24318
6011,24327
6020,24338
6028,24358
6030,24360
6034,24366
6035,24367
6038,2437
6043,24377
6045,24379
6047,24380
6049,2439
6053,24398
6054,24399
6055,244
6063,24407
6065,24414
6069,24418
6077,24431
6083,24442
6084,24443
6086,2445
6089,2446
6091,24467
6093,24469
6094,2447
6097,24472
6099,24474
6100,24475
6110,24497
6111,24498
6112,24499
6113,24501
6119,24508
6121,24512
6125,24519
6126,2452
6130,24524
6131,24525
6135,24540
6136,24541
6137,24544
6138,24545
6139,24546
6140,24549
6146,24561
6149,24565
6151,24567
6152,24568
6154,24570
6158,24575
6159,24577
6164,24587
6170,2460
6171,24602
6172,24606
6173,24610
6177,24622
6189,24647
6190,24648
6192,24656
6205,2468
6212,2469
6216,24700
6217,24701
6227,24722
6229,24725
6235,24735
6238,2474
6239,24743
6262,24777
6263,24778
6272,2479
6291,24813
6302,2483
6307,24840
6313,2485
6315,24858
6317,2486
6321,2487
6325,2488
6341,24915
6343,2492
6370,2496
6382,2498
6385,2499
6388,24993
6396,2501
6400,25015
6442,2508
6451,2509
6453,25094
6454,25095
6459,2510
6466,25108
6486,2513
6510,2517
6547,2523
6561,2526
6564,2542
6566,2550
6567,2551
6569,2554
6570,2556
6571,2557
6572,2558
6575,2566
6579,2582
6582,2586
6584,2588
6586,2592
6587,2593
6589,2599
6590,2602
6591,2604
6593,2606
6594,2607
6595,2608
6598,2624
6599,2629
6600,263
6601,2631
6602,2632
6603,2633
6605,2635
6606,2636
6607,2637
6608,2640
6609,2641
6611,2645
6613,2651
6614,2653
6616,2662
6617,2667
6618,2668
6619,2676
6620,268
6621,2680
6623,2682
6625,2689
6626,2690
6627,2691
6629,2696
6630,2697
6631,2699
6632,2702
6633,2707
6634,2708
6635,2711
6636,2712
6638,2715
6641,2724
6644,2731
6645,2739
6646,274
6649,2751
6650,2753
6652,2759
6653,2760
6654,2763
6661,2775
6663,2781
6664,2782
6665,2786
6666,2787
6667,2793
6668,2794
6669,2795
6670,2797
6675,2808
6678,2821
6679,2829
6680,2831
6681,2832
6683,2836
6684,2838
6686,2840
6688,2859
6689,2861
6690,2862
6692,2865
6693,2867
6699,2884
6700,2885
6702,2890
6703,2891
6706,2903
6707,2910
6708,2915
6711,2919
6713,2925
6715,2927
6716,2937
6717,2941
6718,2943
6719,2946
6723,2952
6728,2963
6730,2966
6731,2975
6732,2977
6733,2980
6734,2986
6736,2991
6737,3002
6738,3003
6739,3004
6741,3007
6743,3013
6744,3021
6747,3029
6748,3030
6749,3031
6750,3032
6754,3037
6755,3039
6759,3053
6760,3056
6762,3063
6763,3065
6765,307
6766,3074
6771,3091
6772,3092
6775,3100
6776,3102
6777,3111
6778,3132
6779,3133
6781,3136
6782,3144
6783,3150
6784,3155
6786,3165
6787,3166
6788,3177
6789,3179
6790,3180
6792,3184
6794,319
6795,3191
6796,3192
6798,3195
6801,3200
6803,3204
6804,3206
6806,3209
6807,3211
6808,3212
6809,3214
6810,3215
6811,3216
6814,3222
6815,3225
6816,3232
6817,3233
6818,3234
6820,3240
6821,3242
6822,3243
6823,3244
6824,3245
6825,3246
6826,3247
6827,3248
6830,3253
6832,3259
6834,3260
6836,3267
6837,3268
6838,327
6839,3271
6840,3275
6841,3276
6842,3277
6845,3289
