,OBJECTID
1304,1047394
1305,1047395
1306,1047400
1307,1047405
1308,1047407
1309,1047408
1310,1047411
1311,1047412
1312,1047415
1313,1047416
1314,1047418
1315,1047423
1316,1047427
1317,1047428
1318,1047429
1319,1047430
1320,1047431
1321,1047432
1322,1047434
1323,1047436
1324,1047437
1325,1047441
1326,1047443
1327,1047448
1328,1047450
1329,1047451
1330,1047453
1331,1047455
1332,1047457
1333,1047459
1334,1047461
1335,1047462
1336,1047463
1337,1047465
1338,1047467
1339,1047469
1340,1047470
1341,1047472
1342,1047477
1343,1047480
1344,1047481
1345,1047483
1346,1047484
1347,1047487
1348,1047488
1349,1047489
1350,1047495
1351,1047496
1352,1047505
1353,1047507
1354,1047509
1355,1047511
1356,1047512
1357,1047515
1358,1047516
1359,1047517
1360,1047520
1361,1047524
1362,1047526
1363,1047528
1364,1047530
1365,1047532
1366,1047533
1367,1047537
1368,1047538
1369,1047540
1370,1047543
1372,1047545
1373,1047550
1374,1047554
1375,1047555
1376,1047560
1377,1047563
1378,1047566
1379,1047567
1380,1047568
1381,1047570
1382,1047571
1383,1047579
1384,1047581
1385,1047583
1386,1047585
1387,1047586
1388,1047593
1389,1047595
1390,1047597
1391,1047600
1392,1047601
1393,1047603
1394,1047605
1395,1047607
1396,1047608
1397,1047610
1398,1047612
1399,1047614
1400,1047615
1401,1047616
1402,1047617
1403,1047620
1404,1047621
1405,1047624
1406,1047626
1407,1047627
1408,1047628
1409,1047629
1410,1047630
1411,1047631
1412,1047633
1413,1047636
1414,1047638
1415,1047639
1416,1047642
1417,1047644
1418,1047645
1419,1047647
1420,1047650
1421,1047652
1422,1047653
1423,1047654
1424,1047655
1425,1047658
1426,1047660
1427,1047661
1428,1047662
1429,1047666
1430,1047667
1431,1047669
1432,1047677
1433,1047680
1434,1047681
1435,1047682
1436,1047683
1437,1047684
1438,1047685
1439,1047686
1440,1047687
1441,1047688
1442,1047690
1443,1047691
1444,1047693
1445,1047694
1446,1047695
1447,1047698
1448,1047699
1449,1047701
1450,1047704
1451,1047705
1452,1047706
1453,1047707
1454,1047709
1455,1047713
1456,1047715
1457,1047716
1458,1047717
1459,1047718
1460,1047719
1461,1047721
1462,1047727
1463,1047729
1464,1047730
1465,1047731
1466,1047733
1467,1047734
1468,1047736
1469,1047743
1470,1047745
1471,1047746
1473,1047749
1474,1047750
1475,1047755
1476,1047756
1477,1047757
1478,1047758
1479,1047759
1480,1047760
1481,1047761
1482,1047762
1483,1047765
1484,1047766
1485,1047777
1486,1047779
1487,1047782
1488,1047783
1489,1047785
1490,1047786
1491,1047795
1492,1047796
1493,1047797
1494,1047798
1495,1047800
1496,1047802
1497,1047804
1498,1047806
1499,1047807
1501,1047812
1502,1047813
1503,1047817
1504,1047818
1505,1047820
1506,1047821
1507,1047823
1508,1047824
1509,1047826
1510,1047827
1511,1047828
1512,1047831
1513,1047832
1514,1047833
1515,1047834
1516,1047835
1517,1047836
1518,1047838
1519,1047842
1520,1047845
1521,1047849
1522,1047853
1523,1047854
1524,1047855
1525,1047857
1526,1047866
1527,1047867
1528,1047870
1529,1047873
1530,1047876
1531,1047877
1532,1047878
1533,1047879
1534,1047880
1535,1047882
1536,1047884
1537,1047886
1538,1047889
1539,1047894
1540,1047895
1541,1047897
1542,1047898
1543,1047899
1544,1047900
1545,1047903
1546,1047907
1547,1047908
1548,1047914
1549,1047915
1550,1047916
1551,1047917
1552,1047918
1553,1047921
1554,1047922
1555,1047923
1556,1047929
1557,1047934
1558,1047935
1559,1047938
1560,1047940
1561,1047944
1562,1047946
1563,1047952
1564,1047955
1565,1047957
1566,1047959
1567,1047961
1568,1047964
1569,1047966
