,OBJECTID,idf.kw,FootprintArea.m2,building.area.m2
5273,9834,SingleFamily-2004,463.6342130256787,312.6085
5274,9835,SingleFamily-2004,318.12351968900856,372.7148
5275,9836,SingleFamily-pre-1980,333.10247763065547,393.1528
5276,9841,SingleFamily-pre-1980,221.0871081579729,144.924
5277,9842,SingleFamily-pre-1980,230.4804095119632,214.3203
5278,9843,SingleFamily-pre-1980,219.02490604955617,193.6036
5279,9844,SingleFamily-pre-1980,170.4304723477954,185.4284
5280,9847,SingleFamily-2004,380.16610639851024,434.4004
5281,9849,SingleFamily-2004,566.4222450204968,2644.6772
5282,9850,MultiFamily-pre-1980,403.58579606405806,528.1365
5283,9852,SingleFamily-pre-1980,298.5253494245859,200.3853
5284,9853,SingleFamily-2004,361.3197611833314,256.3111
5285,9854,SingleFamily-pre-1980,252.12510848133795,150.2193
5286,9855,SingleFamily-pre-1980,200.69615572647768,218.5008
5287,9856,SingleFamily-pre-1980,252.0632242569309,244.327
5288,9857,SingleFamily-2004,590.5426855733931,408.2955
5289,9858,SingleFamily-pre-1980,534.2307443960735,332.9536
5290,9859,SingleFamily-pre-1980,234.18915536421983,346.9815
5291,9860,SingleFamily-2004,378.8744584634245,537.2407
5292,9861,SingleFamily-2004,472.4588134568753,444.2478
5293,9862,SingleFamily-pre-1980,246.46003921129272,156.4436
5294,9864,SingleFamily-pre-1980,225.4826957896976,133.2186
5296,9866,SingleFamily-pre-1980,286.1431496248492,334.2542
5297,9867,SingleFamily-pre-1980,316.9365921468493,202.8936
5298,9868,SingleFamily-pre-1980,263.4125477131996,291.1486
5299,9869,SingleFamily-pre-1980,360.9542444035187,382.9338
5300,9870,SingleFamily-pre-1980,210.6980014301001,224.5393
5301,9871,SingleFamily-pre-1980,226.31781833590856,133.0328
5303,9873,SingleFamily-pre-1980,321.11960330095934,207.2599
5304,9874,SingleFamily-pre-1980,241.435881925091,238.753
5305,9875,SingleFamily-pre-1980,297.3090319470194,249.5294
5306,9878,SingleFamily-pre-1980,312.0173006307666,246.185
5307,9879,SingleFamily-pre-1980,206.48046419019704,148.1755
5309,9882,SingleFamily-pre-1980,949.548274209161,670.5522
5310,9883,SingleFamily-pre-1980,300.818737081006,178.368
5311,9884,SingleFamily-pre-1980,299.82072016675244,220.5446
5312,9885,SingleFamily-pre-1980,288.87145960572053,171.4934
5313,9886,SingleFamily-pre-1980,267.20586519905555,168.3348
5314,9887,SingleFamily-2004,313.36526420137403,275.2627
5315,9888,SingleFamily-2004,490.943046251807,407.0878
5316,9889,SingleFamily-pre-1980,350.8298517214102,163.5969
5317,9890,SingleFamily-pre-1980,428.6758288347881,322.9204
5318,9891,SingleFamily-pre-1980,365.11915739286974,242.5619
5319,9892,SingleFamily-2004,414.9303702233496,381.3545
5320,9893,SingleFamily-2004,215.2095698382872,241.2613
5321,9894,SingleFamily-2004,433.6713079766804,547.2739
5322,9895,SingleFamily-pre-1980,355.1434730144127,351.4407
5323,9897,SingleFamily-pre-1980,258.315876433793,155.143
5324,9898,SingleFamily-pre-1980,248.05483871946183,133.9618
5325,9899,SingleFamily-pre-1980,305.1751709622203,246.9282
5326,9901,SingleFamily-pre-1980,227.27536502273264,144.3666
5328,9904,SingleFamily-pre-1980,237.8691830211199,155.143
5329,9905,SingleFamily-pre-1980,313.44900019481946,187.2864
5330,9906,SingleFamily-pre-1980,272.1025743814069,165.362
5331,9907,SingleFamily-pre-1980,363.874506384586,229.1843
5332,9920,MultiFamily-pre-1980,226.88160481091012,157.93
5337,9925,SingleFamily-pre-1980,343.8263217629811,380.1468
5338,9926,SingleFamily-pre-1980,260.32838710125,229.2772
5339,9927,SingleFamily-pre-1980,566.041816686354,744.5006
5340,9929,SingleFamily-pre-1980,322.3800695454819,208.6534
5341,9930,SingleFamily-pre-1980,472.28780387681786,485.1238
5342,9933,SingleFamily-pre-1980,206.06940343661933,150.1264
5343,9934,SingleFamily-pre-1980,226.3841348003297,185.9858
5344,9935,SingleFamily-pre-1980,293.7420608214082,204.8445
5345,9936,SingleFamily-pre-1980,422.65086005946097,251.1087
5346,9937,SingleFamily-pre-1980,538.5492777664742,304.5262
5347,9938,SingleFamily-pre-1980,279.26101569629765,276.842
5348,9939,SingleFamily-pre-1980,263.00353167808123,249.3436
5349,9940,SingleFamily-pre-1980,335.4313265625889,309.4499
5350,9941,SingleFamily-pre-1980,285.2412491549399,197.1338
5351,9942,SingleFamily-pre-1980,531.4580719247931,373.1793
5352,9943,SingleFamily-pre-1980,258.41364030886405,150.2193
5353,9944,SingleFamily-pre-1980,567.7803368097732,491.8126
5354,9945,SingleFamily-pre-1980,485.8549969906777,291.1486
5355,9946,SingleFamily-pre-1980,259.5574665140267,167.7774
5356,9947,SingleFamily-pre-1980,269.9094224605232,228.0695
5358,9949,SingleFamily-pre-1980,228.25133126099965,223.5174
5359,9951,SingleFamily-pre-1980,248.28759157264471,179.297
5360,9952,SingleFamily-pre-1980,282.029774095567,250.1797
5361,9953,SingleFamily-pre-1980,210.41366170455933,232.3429
5362,9954,SingleFamily-pre-1980,719.613204412602,1495.5042
5363,9955,SingleFamily-pre-1980,356.3277520119391,211.0688
5364,9956,SingleFamily-pre-1980,314.74039292128407,276.2846
5365,9957,SingleFamily-pre-1980,256.97259213835935,231.5997
5366,9958,SingleFamily-pre-1980,251.07149275192825,229.2772
5367,9961,SingleFamily-2004,1170.9879728739572,935.0385
5368,9964,SingleFamily-pre-1980,325.33435539687264,265.4153
5370,9966,SingleFamily-pre-1980,296.00825646264184,192.0243
5371,9968,SingleFamily-pre-1980,292.1775941022724,163.7827
5372,9969,SingleFamily-pre-1980,242.8866481328444,283.7166
5373,9970,SingleFamily-pre-1980,234.75012873520643,206.6096
5374,9971,SingleFamily-pre-1980,223.35519403575867,217.386
5375,9973,SingleFamily-pre-1980,262.9046728248,280.9296
5376,9974,SingleFamily-pre-1980,299.1885345723805,192.0243
5378,9976,SingleFamily-pre-1980,375.54058944872935,392.1309
5379,9977,SingleFamily-pre-1980,418.2725894434369,450.7508
5380,9979,SingleFamily-pre-1980,292.42220998551176,158.0229
5381,9980,SingleFamily-pre-1980,236.031421515766,144.5524
5383,9982,SingleFamily-2004,310.25785214159527,333.8826
5384,9983,SingleFamily-pre-1980,257.9920860528065,168.7064
5385,9984,SingleFamily-pre-1980,231.01049745737325,139.7216
5386,9986,SingleFamily-pre-1980,242.6506658754956,133.2186
5387,9987,SingleFamily-pre-1980,169.12199461179654,129.5955
5388,9989,SingleFamily-pre-1980,237.1824448272408,135.0766
5389,9990,SingleFamily-pre-1980,262.50935686811744,176.1384
5390,9993,SingleFamily-pre-1980,290.9231886924644,241.9116
5391,9994,SingleFamily-pre-1980,206.7185842125841,158.0229
5392,9995,SingleFamily-pre-1980,245.26200604379844,138.5139
5393,9997,SingleFamily-pre-1980,265.77250377206025,213.7629
5394,9998,SingleFamily-pre-1980,238.183469425432,168.0561
5395,9999,SingleFamily-pre-1980,468.12631127572655,582.483
5397,10001,SingleFamily-pre-1980,292.3854116545027,196.019
5398,10002,SingleFamily-pre-1980,219.5671710145509,181.2479
5399,10003,SingleFamily-2004,430.3203114868171,340.943
5400,10004,SingleFamily-pre-1980,221.77246888065628,133.2186
5401,10005,SingleFamily-pre-1980,322.855165030227,223.5174
