,index,hgt_median_m,area,yrbuilt
312,312,11.95,2.6103057846351387e-08,1963
313,313,9.09,2.609818159167318e-08,1954
314,314,12.72,2.6090818201180972e-08,1915
315,315,9.36,2.6084808584285726e-08,1917
316,316,8.83,2.6085367363202827e-08,1950
317,317,8.82,2.6064003511006823e-08,1966
318,318,10.26,2.6010596005498442e-08,1958
319,319,8.76,2.598761871000389e-08,1968
320,320,10.73,2.5979705688934576e-08,1913
321,321,9.88,2.5974041712950055e-08,1927
322,322,11.06,2.596726442983435e-08,1962
323,323,11.06,1.0169135595072856e-08,1962
324,324,5.73,2.596726442983435e-08,1962
325,325,5.73,1.0169135595072856e-08,1962
326,326,9.03,2.593638825648627e-08,1921
327,327,7.86,2.589265687891685e-08,1920
328,328,11.58,2.583703050469475e-08,1963
329,329,8.42,2.5795384414581858e-08,1919
330,330,6.51,2.577977097062836e-08,1922
331,331,8.59,2.576657429603177e-08,1957
332,332,9.38,2.5711413975150473e-08,1961
333,333,12.86,2.5706287254599258e-08,1962
334,334,13.27,2.5641650458015275e-08,1927
335,335,9.26,2.5614409998030422e-08,1921
336,336,11.77,2.5611264765302455e-08,1926
337,337,9.41,2.5607813446672326e-08,1955
338,338,9.41,3.936789314891719e-09,1955
339,339,3.01,2.5607813446672326e-08,1955
340,340,3.01,3.936789314891719e-09,1955
341,341,14.2,2.5589140755671858e-08,1929
342,342,9.17,2.5586724518778743e-08,1925
343,343,6.31,2.5540854710437162e-08,1957
344,344,9.33,2.5538548594682668e-08,1925
345,345,8.81,2.5532300631493515e-08,1995
346,346,3.38,2.5526393797908103e-08,1953
347,347,7.8,2.5499815106985116e-08,1931
348,348,12.4,2.5482008744529717e-08,1926
349,349,8.45,2.541008819216505e-08,1924
350,350,9.69,2.5363570344593845e-08,1969
351,351,9.36,2.533630601446596e-08,1966
352,352,8.99,2.5248009310427015e-08,1960
353,353,8.89,2.5207611826501853e-08,1926
354,354,9.05,2.5178845365695487e-08,1956
355,355,9.08,2.5164326787702697e-08,1971
