,label,index,OBJECTID,vintage,idf.kw,FootprintArea.m2,building.area.m2,HEIGHT
12287,3,8400,8400,before 1980,SingleFamily-pre-1980,233.7402501029551,135.5411,21.27
12288,3,8401,8401,1981-2008 (2004),SingleFamily-2004,598.02568331897,654.5734,26.16
12289,0,8402,8402,1981-2008 (2004),SingleFamily-2004,284.3107568030254,367.5124,28.37
12290,3,8403,8403,1981-2008 (2004),SingleFamily-2004,274.5649752322974,251.9448,26.11
12291,3,8404,8404,1981-2008 (2004),SingleFamily-2004,435.10989979498447,564.0888,24.88
12292,3,8406,8406,before 1980,SingleFamily-pre-1980,428.275292850912,250.4584,11.03
12293,0,8407,8407,before 1980,SingleFamily-pre-1980,616.9655158797965,387.1143,17.4
12294,0,8412,8412,before 1980,SingleFamily-pre-1980,293.7257998542297,225.0038,14.28
12295,0,8413,8413,before 1980,SingleFamily-pre-1980,259.63566703429683,298.4877,21.89
12296,3,8415,8415,before 1980,SingleFamily-pre-1980,301.51942257266967,256.2182,20.71
12297,3,8416,8416,1981-2008 (2004),SingleFamily-2004,412.8738492581941,379.4965,22.38
12298,0,8419,8419,1981-2008 (2004),SingleFamily-2004,359.5625343186381,330.3524,23.4
12299,3,8423,8423,1981-2008 (2004),SingleFamily-2004,331.91951277285773,355.6212,20.16
12300,4,8424,8424,before 1980,SingleFamily-pre-1980,266.694728863769,267.7378,22.92
12301,3,8425,8425,before 1980,SingleFamily-pre-1980,339.0583068409357,204.1013,16.98
12302,4,8426,8426,before 1980,SingleFamily-pre-1980,248.13689529169247,258.0762,18.92
12303,0,8427,8427,before 1980,SingleFamily-pre-1980,340.21243450483263,340.943,17.3
12304,3,8428,8428,before 1980,SingleFamily-pre-1980,304.61491995267244,215.528,20.23
12305,1,8429,8429,before 1980,SingleFamily-pre-1980,215.39122731595387,200.4782,19.95
12306,3,8430,8430,before 1980,SingleFamily-pre-1980,274.9901245252556,224.5393,25.67
12307,3,8431,8431,1981-2008 (2004),SingleFamily-2004,339.6130810031788,378.103,25.07
12308,3,8432,8432,1981-2008 (2004),SingleFamily-2004,276.49855269768625,278.3284,28.72
12309,1,8434,8434,1981-2008 (2004),SingleFamily-2004,336.9202663872932,374.7586,22.44
12310,1,8436,8436,before 1980,SingleFamily-pre-1980,311.9640141534678,430.2199,28.01
12311,3,8437,8437,before 1980,SingleFamily-pre-1980,218.87093165246893,129.131,11.79
12312,3,8438,8438,before 1980,SingleFamily-pre-1980,178.02151356231892,112.7806,14.19
12313,3,844,844,1981-2008 (2004),MultiFamily-2004,51.16661637056386,139.35,25.03
12314,3,8440,8440,before 1980,SingleFamily-pre-1980,160.59597257414026,105.906,14.07
12315,0,8441,8441,before 1980,SingleFamily-pre-1980,194.55156525848523,258.1691,22.31
12316,3,8442,8442,before 1980,SingleFamily-pre-1980,343.3943519252592,338.3418,16.77
12317,0,8443,8443,before 1980,SingleFamily-pre-1980,275.330510736843,188.6799,14.51
12318,3,8444,8444,before 1980,SingleFamily-pre-1980,389.367776411669,264.3005,12.99
12319,3,8445,8445,before 1980,SingleFamily-pre-1980,259.7952428102858,167.7774,15.9
12320,3,8446,8446,before 1980,SingleFamily-pre-1980,235.1041856700984,142.9731,15.53
12321,3,8447,8447,before 1980,SingleFamily-pre-1980,209.9875753264589,224.818,22.27
12322,3,8448,8448,before 1980,SingleFamily-pre-1980,220.03879371405577,136.6559,19.18
12323,1,8449,8449,before 1980,SingleFamily-pre-1980,322.81415974987704,222.7742,16.1
12324,1,845,845,before 1980,SingleFamily-pre-1980,75.06165014435,79.3366,23.73
12325,3,8450,8450,before 1980,SingleFamily-pre-1980,223.39698828262527,136.6559,17.75
12326,2,8451,8451,before 1980,SingleFamily-pre-1980,287.4224570690948,142.9731,12.59
12327,3,8452,8452,before 1980,SingleFamily-pre-1980,208.71846498090025,233.4577,19.58
12328,3,8453,8453,before 1980,SingleFamily-pre-1980,181.3284531273317,140.6506,13.33
12329,3,8457,8457,before 1980,SingleFamily-pre-1980,223.6469508575047,147.2465,16.44
12330,3,8458,8458,before 1980,SingleFamily-pre-1980,204.03553163536608,218.5008,22.51
12331,3,8459,8459,before 1980,SingleFamily-pre-1980,177.26255983671317,94.9438,15.17
12332,1,8464,8464,1981-2008 (2004),SingleFamily-2004,362.8986577164746,426.9684,24.22
12333,3,8465,8465,after 2008 (2013),SingleFamily-2013,329.79568079586323,460.5982,20.45
12334,1,8466,8466,1981-2008 (2004),SingleFamily-2004,311.83558070973083,350.6046,27.16
12335,3,8468,8468,1981-2008 (2004),SingleFamily-2004,241.8018689699499,251.9448,23.89
12336,0,8472,8472,1981-2008 (2004),SingleFamily-2004,535.578580904101,327.1938,19.23
12337,0,8473,8473,before 1980,SingleFamily-pre-1980,280.1984457494756,351.162,19.59
12338,3,8474,8474,before 1980,SingleFamily-pre-1980,222.1356757252437,151.2412,10.62
12339,0,8475,8475,before 1980,SingleFamily-pre-1980,187.89632201950388,112.7806,12.31
12340,3,8477,8477,before 1980,SingleFamily-pre-1980,248.91121588994943,247.7643,23.3
12341,3,8478,8478,before 1980,SingleFamily-pre-1980,209.4202560227191,134.9837,11.73
12342,1,8479,8479,before 1980,SingleFamily-pre-1980,251.40521599154613,142.9731,19.27
12343,3,8480,8480,before 1980,SingleFamily-pre-1980,270.9465780368999,215.2493,20.62
12344,2,8484,8484,before 1980,SingleFamily-pre-1980,1250.2322225457767,1860.9728,27.27
12345,4,8485,8485,before 1980,SingleFamily-pre-1980,178.753892819224,112.7806,15.8
12346,1,8487,8487,1981-2008 (2004),SingleFamily-2004,348.5796847039237,431.5205,24.82
12347,3,8491,8491,1981-2008 (2004),SingleFamily-2004,148.57634803984516,455.9532,
12348,3,8495,8495,1981-2008 (2004),SingleFamily-2004,301.4735404474694,358.8727,23.65
12349,2,850,850,before 1980,SingleFamily-pre-1980,87.22964486517893,70.4182,12.03
12350,3,8501,8501,before 1980,SingleFamily-pre-1980,309.00127665339875,158.859,13.78
12351,1,8505,8505,before 1980,SingleFamily-pre-1980,166.1716251704297,94.0148,13.08
12352,1,8506,8506,before 1980,SingleFamily-pre-1980,578.4387931064977,400.0274,15.86
12353,3,8513,8513,1981-2008 (2004),SingleFamily-2004,325.52457149653185,197.3196,18.69
12354,1,8514,8514,before 1980,SingleFamily-pre-1980,491.8850726791646,334.0684,15.68
12355,1,8515,8515,before 1980,SingleFamily-pre-1980,315.6819563355876,196.019,13.58
12356,1,8516,8516,before 1980,SingleFamily-pre-1980,477.3494802537212,225.6541,11.46
12357,3,8517,8517,before 1980,SingleFamily-pre-1980,374.52947594035714,213.4842,19.04
