category,consumption,Category1,epw
SingleFamily-2013____76,45024243071.000206,SingleFamily-2013,76
SingleFamily-2013____77,44120128592.63673,SingleFamily-2013,77
SingleFamily-2013____78,43770630354.26517,SingleFamily-2013,78
SingleFamily-2013____79,44660409140.34497,SingleFamily-2013,79
SingleFamily-2013____80,55081279617.32585,SingleFamily-2013,80
SingleFamily-2013____82,68395264284.48242,SingleFamily-2013,82
SingleFamily-2013____83,67696932579.92071,SingleFamily-2013,83
SingleFamily-2013____9,43086896491.477554,SingleFamily-2013,9
SingleFamily-2013____91,46485202065.80495,SingleFamily-2013,91
SingleFamily-2013____92,43679230074.06612,SingleFamily-2013,92
SingleFamily-2013____93,46703477972.19215,SingleFamily-2013,93
SingleFamily-2013____97,68488232071.54036,SingleFamily-2013,97
SingleFamily-pre-1980____10,98884096941.34384,SingleFamily-pre-1980,10
SingleFamily-pre-1980____105,94665377597.9301,SingleFamily-pre-1980,105
SingleFamily-pre-1980____106,92794757945.34805,SingleFamily-pre-1980,106
SingleFamily-pre-1980____107,97327917250.49646,SingleFamily-pre-1980,107
SingleFamily-pre-1980____109,148090246482.76614,SingleFamily-pre-1980,109
SingleFamily-pre-1980____11,102851347128.44264,SingleFamily-pre-1980,11
SingleFamily-pre-1980____110,132859060597.44727,SingleFamily-pre-1980,110
SingleFamily-pre-1980____111,123372746325.92545,SingleFamily-pre-1980,111
SingleFamily-pre-1980____119,105390199891.96512,SingleFamily-pre-1980,119
SingleFamily-pre-1980____120,94200302087.59409,SingleFamily-pre-1980,120
SingleFamily-pre-1980____121,113814470716.65253,SingleFamily-pre-1980,121
SingleFamily-pre-1980____123,146943232390.78198,SingleFamily-pre-1980,123
SingleFamily-pre-1980____124,128125709937.13245,SingleFamily-pre-1980,124
SingleFamily-pre-1980____125,122858935302.98174,SingleFamily-pre-1980,125
SingleFamily-pre-1980____135,131042240698.23828,SingleFamily-pre-1980,135
SingleFamily-pre-1980____136,146832457478.24133,SingleFamily-pre-1980,136
SingleFamily-pre-1980____138,125717820223.74478,SingleFamily-pre-1980,138
SingleFamily-pre-1980____139,125747236297.79126,SingleFamily-pre-1980,139
SingleFamily-pre-1980____23,80855698205.7965,SingleFamily-pre-1980,23
SingleFamily-pre-1980____24,100232025562.55783,SingleFamily-pre-1980,24
SingleFamily-pre-1980____25,106626587017.4893,SingleFamily-pre-1980,25
SingleFamily-pre-1980____27,105380038338.58324,SingleFamily-pre-1980,27
SingleFamily-pre-1980____30,70709124573.47592,SingleFamily-pre-1980,30
SingleFamily-pre-1980____34,76005131884.12253,SingleFamily-pre-1980,34
SingleFamily-pre-1980____35,76486202424.08614,SingleFamily-pre-1980,35
SingleFamily-pre-1980____36,76912122828.00397,SingleFamily-pre-1980,36
SingleFamily-pre-1980____37,97921834247.01382,SingleFamily-pre-1980,37
SingleFamily-pre-1980____38,103172094566.16592,SingleFamily-pre-1980,38
SingleFamily-pre-1980____39,106676980676.89462,SingleFamily-pre-1980,39
SingleFamily-pre-1980____40,110514344017.97083,SingleFamily-pre-1980,40
SingleFamily-pre-1980____41,110765072692.56894,SingleFamily-pre-1980,41
SingleFamily-pre-1980____48,98409695675.98236,SingleFamily-pre-1980,48
SingleFamily-pre-1980____49,89310713801.87335,SingleFamily-pre-1980,49
SingleFamily-pre-1980____50,87267776848.68584,SingleFamily-pre-1980,50
SingleFamily-pre-1980____51,90910277339.42876,SingleFamily-pre-1980,51
SingleFamily-pre-1980____52,91576787260.66068,SingleFamily-pre-1980,52
SingleFamily-pre-1980____53,101401976458.25607,SingleFamily-pre-1980,53
